
(YEAR-MO-DAY),Category,Source,EventDescription,Other(if any)
(2025-01-01),ACTofGOD/NETWORK,"System Outage Fragility for Power Systems: A Robust Data-Driven Framework for Disparity Analysis Using Multiple Hurricane Events","Analysis of power system outages in Florida for 11 hurricanes from 2017 to 2022, identifying fragile and resilient counties and significant hurricane vulnerability.","10.1016/j.ijdrr.2025.105240"
(2025-01-01),NETWORK/TRANSPORTATION,"Optimizing Distribution Grid Performance through Electric Vehicle Integration and Stochastic Modeling in Extreme Weather Conditions","A framework for optimizing micro grid performance under extreme weather, integrating electric vehicles and renewable energy. Achieved 37.1% reduction in unsupplied energy costs.","10.5829/ijee.2025.16.03.15"
(2025-01-01),ACTofGOD,"Comparative analysis of two episodes of strongly geoeffective CME events in November and December 2023","Analysis of two episodes of strongly geoeffective CME events in Nov and Dec 2023 and their impact on geomagnetic storms and solar wind conditions.","10.48550/arxiv.2501.14295"
(2025-01-01),AI/LLM/ELECTRONICS,"On the Dependability of Bidirectional Encoder Representations from Transformers (BERT) to Soft Errors","Study on the dependability of BERT to soft errors, finding significant impact on single-precision parameters, with critical bit errors causing overflow and accuracy loss.","10.1109/tnano.2025.3531721"
(2025-01-01),AI/LLM,"AI-Enabled Operations at Fermi Complex: Multivariate Time Series Prediction for Outage Prediction and Diagnosis","An AI-enabled framework for predicting beam outages and diagnosing causes at Fermilab's accelerator complex to improve downtime handling.","10.48550/arxiv.2501.01509"
(2025-01-01),AI/LLM,"Into the Next Generation of Digital Protection: Ai Resiliency As a Public Responsibility","As AI is embedded in critical infrastructure, its resiliency is crucial for social and economic stability, raising concerns about human responsibility and control.","10.1016/j.telpol.2025.102907"
(2025-01-01),NETWORK/AI/LLM,"Intelligent information systems for power grid fault analysis by computer communication technology","An intelligent information system for power grid fault analysis using a Transformer and GNN model, achieving 99.2% fault identification accuracy.","10.1186/s42162-024-00465-6"
(2025-01-01),AI/LLM,"The Application of Support Vector Machine (SVM) and AI in Enhancing Disaster Management","Examines the use of SVM and AI in disaster management, using machine learning for creating maps and alerts to transform disaster response to a proactive approach.","10.2139/ssrn.5076167"
(2025-01-01),AI/LLM,"Artificial Intelligence, Data Centers, Energy Capabilities, and International Security: An Exploratory Analysis","Examines the interplay between data centers, energy capabilities, and AI development and their impact on international security.","10.1177/0095327x241308839"
(2025-01-01),AI/LLM/NETWORK,"Leveraging Artificial Intelligence for Enhancing the Resilience and Security of Critical Infrastructures in the United States","Explores AI's potential in enhancing US critical infrastructure resilience and security against cyber threats, physical sabotage, and disruptions.","10.37745/ejcsit.2013/vol13n11632"
(2025-01-01),ACTofGOD/NETWORK/TRANSPORTATION,"Risk and Vulnerability Assessment of Energy-Transportation Infrastructure Systems to Extreme Weather","A framework to assess the impact of extreme weather on energy-transportation infrastructure systems, using a neural network for vulnerability identification.","10.48550/arxiv.2501.13473"
(2025-01-01),ELECTRONICS/NETWORK,"Smart Electronics, Energy, and IoT Infrastructures for Smart Cities","Explores the integration of AI, smart electronics, and IoT infrastructures to optimize energy management in smart cities.","10.3390/electronics14030407"
(2025-01-01),NETWORK/AI/LLM,"Development of Smart Grid Resilience and Stability Analysis in High Renewable Penetration using Artificial Intelligence with IoT","A smart grid resilience and stability analysis framework using AI and IoT, integrating renewable energy and employing optimization techniques for enhanced stability.","10.2139/ssrn.5082216"
(2025-01-01),AI/LLM/NETWORK,"A Deep Reinforcement Learning-Based Approach for Cyber Resilient Demand Response Optimization","A Deep Reinforcement Learning-based framework to enhance smart grid reliability and security through optimized demand response and robust cyberattack detection.","10.3389/fenrg.2024.1494164"
(2025-01-01),ACTofGOD/NETWORK,"Voltage Collapse Owing to Cascading Failures under Geomagnetic Disturbances in Electromagnetic Transient Perspective","Geomagnetic disturbances cause massive reactive power losses and harmonic currents, leading to cascading failures and voltage collapse in power grids.","10.1109/tpwrs.2025.3534437"
(2025-01-01),NETWORK,"Threat-Agnostic Resilience: Framing and Application for Critical Infrastructure","A threat-agnostic resilience framework for critical infrastructure, based on 5 principles to enhance operational efficiency and recovery capability.","10.48550/arxiv.2501.01318"
