date,time_local,incident_description,affected_services,status
2025-09-27,2:29 PM,Increased latency on fine-tuning jobs,Fine-tuning,Resolved
2025-09-25,1:57 PM,Elevated API error rates for gpt-5-nano-2025-08-07-4292,GPT-5 Nano,Resolved
2025-09-25,12:51 PM,Elevated errors for Code Interpreter in the API,Code Interpreter,Resolved
2025-09-24,5:58 PM,ChatGPT On WhatsApp Outage,WhatsApp,Resolved
2025-09-24,1:54 PM,Elevated Errors in Conversations with ChatGPT,ChatGPT,Resolved
2025-09-23,9:47 PM,ChatGPT Login Degradation,ChatGPT Login,Resolved
2025-09-23,1:01 AM,Increased errors while using Connectors in ChatGPT,Connectors,Resolved
2025-09-22,5:56 PM,Increased error rate for ChatGPT,ChatGPT,Resolved
2025-09-22,2:53 AM,ChatGPT: Elevated errors on file uploads,File Uploads,Resolved
2025-09-20,5:12 PM,Users are unable to create edit or upload files to projects,Projects,Resolved
2025-09-19,1:36 PM,Elevated error rates on ChatGPT Agent & GPT-5 Pro,Agent/GPT-5 Pro,Resolved
2025-09-17,3:41 PM,Errors for Conversations with Images for Free Users,Free Users,Resolved
2025-09-17,10:32 AM,Elevated errors in GPT Store,GPT Store,Resolved
2025-09-16,11:05 AM,Elevated errors with SSO login,SSO Login,Resolved
2025-09-15,9:49 PM,Impact in retrieval quality on file_search,File Search,Resolved
2025-09-14,10:17 AM,Elevated error rates on API Platform,API Platform,Resolved
2025-09-12,12:54 PM,Users may see both a GPT-5 response and an agent response when running agent tasks,GPT-5/Agent,Resolved
2025-09-12,9:21 AM,Increased Number of Users Reporting Rate Limit Errors with GPT-4o Model,GPT-4o,Resolved
2025-09-11,6:11 PM,Deep Research elevated errors,Deep Research,Resolved
2025-09-11,6:05 PM,Fine-tuning jobs experiencing delays,Fine-tuning,Resolved
2025-09-10,5:47 PM,Errors with Batch API,Batch API,Resolved
2025-09-10,1:25 PM,File Search not working across Responses and Assistance API,File Search/API,Resolved
2025-09-09,12:31 PM,ChatGPT Agent elevated error rate,ChatGPT Agent,Resolved
2025-09-05,2:47 AM,Increased error rates in Web Search tools in Responses API,Web Search,Resolved
2025-09-04,4:17 PM,File API Errors,File API,Resolved
2025-09-03,3:23 AM,ChatGPT Not Displaying Responses,ChatGPT,Resolved
2025-09-01,8:41 AM,Elevated errors on ChatGPT,ChatGPT,Resolved
